,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,980.0,288.0,23.2,22.0,93.0,17.23875938305467,0.0,0.0,298.1,348.5,301.1
1,963.0,442.0,21.6,19.2,86.0,14.701535773758621,0.0,4.0,297.9,341.0,300.6
2,961.0,460.0,21.6,-15.4,7.0,1.202224923552206,0.0,4.0,298.1,302.1,298.3
3,954.0,523.0,21.6,-27.4,3.0,0.42433903766014924,0.0,6.0,298.7,300.2,298.8
4,943.0,624.0,21.4,-27.6,3.0,0.42144166098210595,0.0,9.0,299.5,301.0,299.6
5,941.0,642.0,21.2,13.2,60.0,10.187089095642527,0.0,9.0,299.5,329.7,301.4
6,937.0,679.0,21.4,13.8,62.0,10.646090981789227,0.0,10.0,300.0,331.7,302.0
7,927.0,773.0,21.7,15.5,68.0,12.035694571600864,15.0,12.0,301.3,337.1,303.5
8,925.0,792.0,21.8,15.8,69.0,12.300930392601963,15.0,12.0,301.6,338.2,303.8
9,922.0,820.0,22.2,15.2,65.0,11.866914857570295,12.0,12.0,302.3,337.8,304.4
10,887.0,1155.0,20.8,12.8,60.0,10.53400838685988,340.0,8.0,304.1,335.9,306.1
11,851.0,1513.0,19.2,10.2,56.0,9.225083013405197,87.0,5.0,306.1,334.4,307.9
12,850.0,1523.0,19.2,10.2,56.0,9.2360972093534,90.0,5.0,306.2,334.5,307.9
13,819.0,1841.0,16.5,12.4,77.0,11.123506501733383,130.0,3.0,306.7,340.7,308.8
14,813.0,1904.0,16.0,12.9,82.0,11.58758715316149,127.0,3.0,306.8,342.1,308.9
15,736.0,2741.0,10.5,8.3,86.0,9.387643435512455,85.0,10.0,309.7,338.7,311.4
16,720.0,2926.0,9.3,7.2,87.0,8.896155231279003,70.0,10.0,310.3,338.0,312.0
17,713.0,3009.0,8.8,6.8,87.0,8.738264105533915,81.0,11.0,310.6,337.8,312.2
18,707.0,3079.0,8.4,6.3,87.0,8.511302446233614,90.0,11.0,310.9,337.5,312.5
19,700.0,3161.0,8.0,5.8,86.0,8.301759422276827,80.0,12.0,311.3,337.3,312.9
20,695.0,3220.0,7.7,5.6,87.0,8.245684579277958,70.0,14.0,311.6,337.4,313.1
21,682.0,3376.0,6.7,5.1,89.0,8.114264464553026,85.0,15.0,312.2,337.7,313.8
22,661.0,3634.0,5.2,4.3,94.0,7.914580663751308,81.0,15.0,313.3,338.3,314.8
23,654.0,3721.0,5.6,1.5,75.0,6.5452420657235075,80.0,15.0,314.7,335.6,316.0
24,586.0,4612.0,-0.5,-1.5,93.0,5.86933623775649,66.0,17.0,317.6,336.7,318.8
25,559.0,4986.0,-2.3,-3.8,90.0,5.18213120453926,60.0,17.0,319.8,336.8,320.8
26,500.0,5870.0,-6.7,-9.3,82.0,3.7923849777439163,55.0,11.0,324.8,337.7,325.6
27,477.0,6235.0,-8.7,-12.7,73.0,3.028980881772073,40.0,5.0,326.7,337.2,327.3
28,462.0,6481.0,-11.0,-13.1,85.0,3.027722498913459,55.0,7.0,326.8,337.3,327.4
29,459.0,6531.0,-11.5,-13.2,87.0,3.022876213459787,61.0,8.0,326.9,337.3,327.4
30,447.0,6734.0,-10.7,-15.9,66.0,2.4848365035051234,85.0,12.0,330.3,339.1,330.8
31,441.0,6838.0,-10.3,-17.3,57.0,2.2396608424206157,82.0,11.0,332.1,340.2,332.6
32,435.0,6943.0,-10.9,-19.9,47.0,1.8187865552192595,78.0,9.0,332.7,339.3,333.0
33,429.0,7048.0,-11.6,-20.4,48.0,1.7662327942203424,75.0,8.0,333.1,339.6,333.5
34,406.0,7467.0,-14.2,-22.4,50.0,1.5670278929930495,85.0,14.0,335.0,340.9,335.4
35,400.0,7580.0,-14.9,-22.9,51.0,1.5217933134723547,80.0,14.0,335.5,341.2,335.9
36,367.0,8225.0,-20.3,-26.3,59.0,1.2216409252836047,84.0,11.0,336.7,341.3,336.9
37,356.0,8449.0,-21.7,-28.8,53.0,0.9996037956213834,85.0,10.0,337.8,341.6,338.0
38,338.0,8831.0,-24.1,-33.1,43.0,0.6986797808495416,104.0,13.0,339.5,342.3,339.7
39,333.0,8939.0,-25.0,-33.7,44.0,0.6688529544653146,110.0,14.0,339.8,342.4,339.9
40,300.0,9690.0,-31.1,-38.1,50.0,0.4783281082695564,85.0,16.0,341.4,343.4,341.5
41,286.0,10027.0,-34.4,-40.6,53.0,0.38754762363973366,80.0,17.0,341.4,343.0,341.5
42,283.0,10102.0,-35.1,-41.1,54.0,0.37165737579006825,83.0,17.0,341.4,342.9,341.5
43,271.0,10404.0,-36.5,-46.5,35.0,0.21666260128746287,94.0,17.0,343.6,344.6,343.7
